epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4615.35,0.88786,0.50639,1.09143,0.92025,0.86702,0.92436,0.6147,0.97509,0.47956,1.1794,0.000650909,0.000650909,0.000650909
57,4697.02,0.87311,0.4944,1.0921,0.92212,0.87174,0.92925,0.61914,0.99959,0.48118,1.20844,0.000636762,0.000636762,0.000636762
58,4780.78,0.8661,0.49038,1.09334,0.92103,0.87052,0.92754,0.61748,1.00151,0.47586,1.20803,0.000622615,0.000622615,0.000622615
59,4860.51,0.86573,0.48605,1.08478,0.92902,0.85641,0.92586,0.61254,1.003,0.48669,1.21236,0.000608468,0.000608468,0.000608468
60,4940.75,0.86243,0.48926,1.08157,0.92377,0.86618,0.92783,0.6224,0.97971,0.48428,1.20446,0.000594321,0.000594321,0.000594321
61,5024.05,0.84626,0.48058,1.08299,0.92714,0.85998,0.9248,0.60369,1.01497,0.48759,1.23825,0.000580174,0.000580174,0.000580174
62,5104.5,0.84948,0.47648,1.08611,0.9045,0.87026,0.91776,0.60591,1.01731,0.4807,1.2218,0.000566027,0.000566027,0.000566027
63,5189.55,0.83932,0.47,1.07891,0.92072,0.86609,0.92593,0.61741,0.99826,0.48276,1.22138,0.00055188,0.00055188,0.00055188
64,5271.3,0.82723,0.46364,1.07177,0.91075,0.87143,0.92225,0.62226,0.97635,0.47094,1.20678,0.000537733,0.000537733,0.000537733
65,5356.38,0.83604,0.46144,1.07392,0.90096,0.88114,0.91864,0.61213,1.00959,0.48478,1.22954,0.000523586,0.000523586,0.000523586
66,5438.11,0.84199,0.472,1.07591,0.93461,0.86946,0.9259,0.61785,0.98954,0.47095,1.21054,0.000509438,0.000509438,0.000509438
67,5517.22,0.83474,0.46428,1.07123,0.92715,0.86026,0.91751,0.60803,1.00017,0.48306,1.22221,0.000495291,0.000495291,0.000495291
68,5601.75,0.83039,0.46367,1.06959,0.92115,0.86281,0.91734,0.61554,0.99442,0.48233,1.21612,0.000481144,0.000481144,0.000481144
69,5682.48,0.82025,0.4587,1.066,0.93195,0.85472,0.92053,0.62042,0.99296,0.48348,1.22285,0.000466997,0.000466997,0.000466997
70,5766.01,0.82164,0.45476,1.0616,0.90467,0.87378,0.91654,0.62238,0.96937,0.46773,1.19939,0.00045285,0.00045285,0.00045285
71,5848.46,0.83086,0.45586,1.06092,0.90922,0.87486,0.92042,0.61875,0.99118,0.48086,1.20665,0.000438703,0.000438703,0.000438703
72,5934.16,0.80793,0.44715,1.05806,0.92885,0.86466,0.92304,0.62485,0.98002,0.46211,1.19791,0.000424556,0.000424556,0.000424556
73,6016.72,0.80467,0.44491,1.0557,0.93039,0.85328,0.91525,0.61532,0.99466,0.47067,1.21318,0.000410409,0.000410409,0.000410409
74,6100.21,0.80987,0.44797,1.05731,0.91936,0.86884,0.92282,0.62169,0.98298,0.48201,1.20498,0.000396262,0.000396262,0.000396262
75,6179.16,0.79936,0.43918,1.04526,0.91135,0.87852,0.9241,0.61794,0.99037,0.48011,1.22166,0.000382115,0.000382115,0.000382115
76,6258.47,0.79765,0.44066,1.05008,0.91046,0.8759,0.92585,0.62427,0.98659,0.47272,1.21194,0.000367967,0.000367967,0.000367967
77,6342.19,0.80831,0.4468,1.05083,0.91863,0.88042,0.92466,0.62373,0.98219,0.46685,1.20769,0.00035382,0.00035382,0.00035382
78,6422.61,0.78723,0.42397,1.04455,0.92636,0.86875,0.92248,0.62091,0.98741,0.47102,1.21336,0.000339673,0.000339673,0.000339673
79,6506.57,0.78567,0.43099,1.0437,0.93266,0.86231,0.9219,0.62068,0.97322,0.46475,1.2073,0.000325526,0.000325526,0.000325526
80,6587.76,0.78403,0.42928,1.03646,0.94715,0.85511,0.92378,0.62214,0.97579,0.46772,1.20479,0.000311379,0.000311379,0.000311379
81,6670.49,0.78177,0.42682,1.04036,0.92528,0.86436,0.92159,0.62076,0.98272,0.47036,1.2124,0.000297232,0.000297232,0.000297232
82,6752.02,0.77526,0.42536,1.03357,0.91158,0.87064,0.92123,0.60909,1.00772,0.47433,1.23129,0.000283085,0.000283085,0.000283085
83,6835.54,0.77575,0.43099,1.03482,0.91584,0.8692,0.91874,0.61514,0.99954,0.48493,1.228,0.000268938,0.000268938,0.000268938
84,6915.35,0.77136,0.424,1.03118,0.92523,0.87079,0.92399,0.61373,1.01227,0.48418,1.22921,0.000254791,0.000254791,0.000254791
85,6994.65,0.76583,0.42053,1.03299,0.91994,0.86867,0.92171,0.62513,0.99006,0.48087,1.22369,0.000240644,0.000240644,0.000240644
86,7079.27,0.76678,0.42145,1.02641,0.94645,0.85236,0.92168,0.61104,1.00924,0.48568,1.24446,0.000226497,0.000226497,0.000226497
87,7161.32,0.76169,0.41714,1.0311,0.94354,0.85041,0.91828,0.61182,1.0129,0.49133,1.23991,0.000212349,0.000212349,0.000212349
88,7246.25,0.74558,0.40975,1.02377,0.91964,0.85749,0.9167,0.60946,1.00586,0.47085,1.23497,0.000198202,0.000198202,0.000198202
89,7328.46,0.75652,0.41448,1.02652,0.933,0.86565,0.92109,0.62055,0.99263,0.46545,1.2331,0.000184055,0.000184055,0.000184055
90,7412.37,0.74678,0.40726,1.01792,0.92724,0.866,0.91927,0.62167,0.98678,0.46562,1.22981,0.000169908,0.000169908,0.000169908
91,7492.88,0.75609,0.37951,1.02299,0.94264,0.84991,0.91886,0.61538,1.001,0.46254,1.24817,0.000155761,0.000155761,0.000155761
92,7575.33,0.73915,0.36967,1.01396,0.91562,0.87244,0.91827,0.61831,0.99508,0.46746,1.24489,0.000141614,0.000141614,0.000141614
93,7651.59,0.72879,0.3634,1.00977,0.94772,0.84635,0.91821,0.61784,0.9997,0.46961,1.24466,0.000127467,0.000127467,0.000127467
94,7734.09,0.7265,0.35945,1.00709,0.9445,0.8464,0.91787,0.61698,1.00003,0.46823,1.25349,0.00011332,0.00011332,0.00011332
95,7811.44,0.72842,0.35886,1.00339,0.94424,0.84574,0.91949,0.61812,0.99693,0.46275,1.25347,9.91726e-05,9.91726e-05,9.91726e-05
96,7894.42,0.72321,0.35963,0.99537,0.94358,0.84898,0.91766,0.61616,0.99768,0.46689,1.254,8.50255e-05,8.50255e-05,8.50255e-05
97,7972.17,0.71744,0.3572,0.99857,0.93048,0.86236,0.91846,0.61729,0.98987,0.45806,1.24532,7.08784e-05,7.08784e-05,7.08784e-05
98,8053.49,0.70975,0.35221,0.99366,0.93268,0.86026,0.9176,0.61986,0.98774,0.46014,1.24651,5.67313e-05,5.67313e-05,5.67313e-05
99,8133.72,0.70914,0.35181,0.99502,0.93434,0.85761,0.91733,0.61369,0.99953,0.46095,1.25639,4.25842e-05,4.25842e-05,4.25842e-05
100,8210.27,0.71015,0.35197,0.99,0.93413,0.85823,0.91762,0.61863,0.99152,0.46213,1.25485,2.84371e-05,2.84371e-05,2.84371e-05
