epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2278.23,1.11393,0.94406,1.2486,0.84233,0.70824,0.80011,0.51927,1.18925,0.864,1.33342,0.0007724,0.0007724,0.0007724
64,2314.3,1.10546,0.93159,1.23961,0.83191,0.7113,0.8,0.51866,1.18455,0.84818,1.3371,0.0007526,0.0007526,0.0007526
65,2350.41,1.08841,0.91559,1.23605,0.83376,0.7174,0.80382,0.52323,1.18301,0.84474,1.31858,0.0007328,0.0007328,0.0007328
66,2386.15,1.08994,0.91423,1.2338,0.84964,0.70781,0.80549,0.52146,1.19429,0.84619,1.33059,0.000713,0.000713,0.000713
67,2421.98,1.08428,0.90572,1.22976,0.85719,0.70214,0.80115,0.52261,1.17158,0.84023,1.31609,0.0006932,0.0006932,0.0006932
68,2458.12,1.08979,0.90827,1.22554,0.85222,0.70083,0.80419,0.51606,1.1935,0.84946,1.34572,0.0006734,0.0006734,0.0006734
69,2493.68,1.08226,0.90266,1.22599,0.84569,0.70781,0.80124,0.51524,1.19846,0.84955,1.33907,0.0006536,0.0006536,0.0006536
70,2528.84,1.07077,0.89478,1.2249,0.83688,0.72525,0.80778,0.528,1.17802,0.82223,1.32618,0.0006338,0.0006338,0.0006338
71,2564.65,1.0749,0.88948,1.22243,0.82919,0.72394,0.80394,0.52395,1.15991,0.83367,1.30887,0.000614,0.000614,0.000614
72,2600.33,1.05547,0.87723,1.22297,0.83962,0.7146,0.80385,0.52736,1.16452,0.82666,1.31912,0.0005942,0.0005942,0.0005942
73,2635.86,1.06721,0.87923,1.21405,0.82898,0.72612,0.80837,0.52382,1.1883,0.82478,1.33533,0.0005744,0.0005744,0.0005744
74,2671.65,1.07001,0.87753,1.21729,0.84272,0.71272,0.80099,0.52716,1.16614,0.83179,1.31271,0.0005546,0.0005546,0.0005546
75,2707.61,1.06411,0.86975,1.21223,0.82728,0.72482,0.8027,0.52269,1.18186,0.83509,1.32875,0.0005348,0.0005348,0.0005348
76,2743.47,1.05917,0.86819,1.21243,0.81947,0.73247,0.80511,0.52908,1.17092,0.83371,1.32049,0.000515,0.000515,0.000515
77,2779.03,1.04942,0.8579,1.19767,0.83523,0.71405,0.80148,0.5214,1.17725,0.824,1.33613,0.0004952,0.0004952,0.0004952
78,2814.36,1.03328,0.85035,1.20406,0.84981,0.70519,0.80404,0.52442,1.18177,0.8307,1.33735,0.0004754,0.0004754,0.0004754
79,2850.13,1.02319,0.8304,1.18887,0.82216,0.72656,0.80638,0.52916,1.18035,0.81814,1.33388,0.0004556,0.0004556,0.0004556
80,2885.57,1.03969,0.8495,1.2037,0.8428,0.71217,0.80227,0.52713,1.16456,0.82972,1.31502,0.0004358,0.0004358,0.0004358
81,2921.38,1.02944,0.84238,1.19084,0.83306,0.71827,0.80241,0.53044,1.1611,0.81363,1.31569,0.000416,0.000416,0.000416
82,2957.28,1.01858,0.83097,1.18774,0.85029,0.7158,0.80457,0.53039,1.167,0.81964,1.325,0.0003962,0.0003962,0.0003962
83,2993.4,1.01741,0.81737,1.18188,0.85342,0.71915,0.80564,0.52525,1.16739,0.82591,1.31825,0.0003764,0.0003764,0.0003764
84,3029.04,1.0176,0.82212,1.1789,0.8422,0.7222,0.80876,0.52944,1.16159,0.81519,1.31382,0.0003566,0.0003566,0.0003566
85,3064.89,1.00085,0.81103,1.17747,0.83995,0.7283,0.81263,0.53255,1.15156,0.79592,1.31224,0.0003368,0.0003368,0.0003368
86,3100.66,1.0129,0.81381,1.18225,0.84659,0.72199,0.80934,0.53031,1.16692,0.80367,1.32396,0.000317,0.000317,0.000317
87,3136.53,0.99785,0.79338,1.17277,0.85114,0.71653,0.80734,0.5284,1.17364,0.80887,1.3336,0.0002972,0.0002972,0.0002972
88,3172.09,1.00898,0.80671,1.17425,0.84412,0.72176,0.80749,0.52838,1.17919,0.80696,1.33416,0.0002774,0.0002774,0.0002774
89,3207.82,0.99751,0.79954,1.17088,0.85175,0.71086,0.8076,0.53074,1.17601,0.81705,1.33014,0.0002576,0.0002576,0.0002576
90,3242.99,0.99963,0.79339,1.17199,0.83872,0.72347,0.80831,0.5307,1.16706,0.80693,1.32074,0.0002378,0.0002378,0.0002378
91,3279.68,0.93337,0.66767,1.12505,0.84541,0.70835,0.80383,0.53212,1.1538,0.80148,1.31897,0.000218,0.000218,0.000218
92,3315.41,0.91511,0.65216,1.11629,0.86105,0.71076,0.8041,0.53016,1.16066,0.80804,1.3237,0.0001982,0.0001982,0.0001982
93,3350.82,0.91324,0.63898,1.11175,0.85073,0.70839,0.80569,0.52983,1.16399,0.80335,1.33359,0.0001784,0.0001784,0.0001784
94,3386.22,0.90348,0.62817,1.10646,0.86071,0.70824,0.80518,0.53076,1.16106,0.802,1.33358,0.0001586,0.0001586,0.0001586
95,3421.92,0.89841,0.63093,1.10717,0.84336,0.71383,0.8061,0.53179,1.15823,0.80165,1.32642,0.0001388,0.0001388,0.0001388
96,3457.18,0.89028,0.62326,1.10061,0.84234,0.71435,0.80592,0.52822,1.15934,0.80196,1.32515,0.000119,0.000119,0.000119
97,3492.56,0.89256,0.61905,1.10644,0.84517,0.7126,0.80544,0.52945,1.16316,0.79804,1.3335,9.92e-05,9.92e-05,9.92e-05
98,3527.86,0.87713,0.60779,1.09583,0.86056,0.70955,0.80852,0.53236,1.16494,0.79537,1.33461,7.94e-05,7.94e-05,7.94e-05
99,3563.27,0.88196,0.60697,1.0913,0.85067,0.71299,0.80683,0.52981,1.16377,0.79798,1.33028,5.96e-05,5.96e-05,5.96e-05
100,3598.33,0.88212,0.60912,1.09436,0.83297,0.72045,0.80701,0.53121,1.16417,0.79907,1.33424,3.98e-05,3.98e-05,3.98e-05
